Plan ID*,Rating Area ID*,Tobacco*,Age*,Standard Rate*,Tobacco Rate*
49316MN1070001,Rating Area 1,No Preference,0-14,307.42,
49316MN1070001,Rating Area 1,No Preference,15,307.42,
49316MN1070001,Rating Area 1,No Preference,16,307.42,
49316MN1070001,Rating Area 1,No Preference,17,307.42,
49316MN1070001,Rating Area 1,No Preference,18,307.42,
49316MN1070001,Rating Area 1,No Preference,19,307.42,
49316MN1070001,Rating Area 1,No Preference,20,307.42,
49316MN1070001,Rating Area 1,No Preference,21,345.42,
49316MN1070001,Rating Area 1,No Preference,22,345.42,
49316MN1070001,Rating Area 1,No Preference,23,345.42,
49316MN1070001,Rating Area 1,No Preference,24,345.42,
49316MN1070001,Rating Area 1,No Preference,25,346.80,
49316MN1070001,Rating Area 1,No Preference,26,353.71,
49316MN1070001,Rating Area 1,No Preference,27,362.00,
49316MN1070001,Rating Area 1,No Preference,28,375.47,
49316MN1070001,Rating Area 1,No Preference,29,386.52,
49316MN1070001,Rating Area 1,No Preference,30,392.05,
49316MN1070001,Rating Area 1,No Preference,31,400.34,
49316MN1070001,Rating Area 1,No Preference,32,408.63,
49316MN1070001,Rating Area 1,No Preference,33,413.81,
49316MN1070001,Rating Area 1,No Preference,34,419.34,
49316MN1070001,Rating Area 1,No Preference,35,422.10,
49316MN1070001,Rating Area 1,No Preference,36,424.87,
49316MN1070001,Rating Area 1,No Preference,37,427.63,
49316MN1070001,Rating Area 1,No Preference,38,430.39,
49316MN1070001,Rating Area 1,No Preference,39,435.92,
49316MN1070001,Rating Area 1,No Preference,40,441.45,
49316MN1070001,Rating Area 1,No Preference,41,449.74,
49316MN1070001,Rating Area 1,No Preference,42,457.68,
49316MN1070001,Rating Area 1,No Preference,43,468.73,
49316MN1070001,Rating Area 1,No Preference,44,482.55,
49316MN1070001,Rating Area 1,No Preference,45,498.79,
49316MN1070001,Rating Area 1,No Preference,46,518.13,
49316MN1070001,Rating Area 1,No Preference,47,539.89,
49316MN1070001,Rating Area 1,No Preference,48,564.76,
49316MN1070001,Rating Area 1,No Preference,49,589.29,
49316MN1070001,Rating Area 1,No Preference,50,616.92,
49316MN1070001,Rating Area 1,No Preference,51,644.21,
49316MN1070001,Rating Area 1,No Preference,52,674.26,
49316MN1070001,Rating Area 1,No Preference,53,704.66,
49316MN1070001,Rating Area 1,No Preference,54,737.47,
